Isolate,NC_000962.3_761155,NC_000962.3_2155168,NC_000962.3_4247429,NC_000962.3_4247431,NC_000962.3_761110,NC_000962.3_761139,NC_000962.3_1473246,NC_000962.3_2302033,NC_000962.3_836272,NC_000962.3_2634282,NC_000962.3_2630740,NC_000962.3_3847087,NC_000962.3_4254290,NC_000962.3_580772,NC_000962.3_3934542,phenotype
SAMN19845137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845138,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845139,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845141,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,
SAMN19845142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845145,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845146,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
SAMN19845147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
SAMN19845149,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845150,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845153,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,
SAMN19845154,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,
SAMN19845155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845156,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,
SAMN19845157,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,
SAMN19845158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845159,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845160,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,
SAMN19845161,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,
SAMN19845162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845164,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845165,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845166,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,
SAMN19845167,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845169,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,
SAMN19845170,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,
SAMN19845171,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845172,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845173,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845174,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845175,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
SAMN19845176,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845179,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845180,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845181,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845182,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,
SAMN19845183,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845184,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,
SAMN19845185,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
SAMN19845186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845187,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845188,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845189,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845191,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845192,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,
SAMN19845193,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845194,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845195,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
SAMN19845196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
SAMN19845197,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845199,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,
SAMN19845200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845201,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,
SAMN19845202,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845203,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845204,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,
SAMN19845205,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845206,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845207,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845208,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,
SAMN19845209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845210,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845211,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,
SAMN19845212,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,
SAMN19845213,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845215,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
SAMN19845216,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,
SAMN19845217,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845218,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,
SAMN19845219,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845220,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845222,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845223,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845224,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,
SAMN19845225,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,
SAMN19845226,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845228,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,
SAMN19845229,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845230,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,
SAMN19845231,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,
SAMN19845232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845233,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845234,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845236,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845237,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAMN19845239,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,
SAMN19845240,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
SAMN19845241,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,
SAMN19845242,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,
SAMN19845243,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,
SAMN19845244,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,
