Isolate,NC_000962.3_2155168,NC_000962.3_761155,NC_000962.3_1673425,NC_000962.3_4247429,NC_000962.3_761110,NC_000962.3_836272,NC_000962.3_3847087,NC_000962.3_580772,NC_000962.3_761139,NC_000962.3_761161,NC_000962.3_340132,NC_000962.3_761109,NC_000962.3_3730466,NC_000962.3_968965,NC_000962.3_3847073,phenotype
SAMN19845118,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845119,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845120,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845121,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845122,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,
SAMN19845123,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845124,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845125,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,
SAMN19845126,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,
SAMN19845127,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,
SAMN19845128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845129,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,
SAMN19845130,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
SAMN19845131,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845132,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845133,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,
SAMN19845134,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845135,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845136,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845137,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845138,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845139,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845140,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845141,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
SAMN19845142,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
SAMN19845143,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,
SAMN19845144,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845145,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,
SAMN19845146,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,
SAMN19845147,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845148,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,
SAMN19845149,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845150,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845151,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845152,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845153,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845154,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,
SAMN19845155,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845156,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845157,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
SAMN19845158,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845159,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845160,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845161,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845162,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845163,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845164,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845165,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845166,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,
SAMN19845167,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMN19845169,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,
SAMN19845170,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,
SAMN19845171,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,
SAMN19845172,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845173,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845174,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845175,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,
SAMN19845176,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845177,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845178,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
SAMN19845179,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845180,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845181,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
SAMN19845182,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,
SAMN19845183,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845184,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
SAMN19845185,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,
SAMN19845186,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845187,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845188,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845189,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845190,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845191,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
SAMN19845192,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,
SAMN19845193,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845194,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845195,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845196,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
SAMN19845197,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845198,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
SAMN19845199,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,
SAMN19845200,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845201,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845202,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
SAMN19845203,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845204,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
SAMN19845205,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
SAMN19845206,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
SAMN19845207,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845208,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845209,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845210,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845211,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845212,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845213,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
SAMN19845214,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845215,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
SAMN19845216,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845217,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845218,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845219,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845220,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
SAMN19845221,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
SAMN19845222,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845223,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845224,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,
SAMN19845225,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845226,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845227,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845228,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845229,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845230,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
SAMN19845231,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,
SAMN19845232,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845233,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,
SAMN19845234,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845235,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
SAMN19845236,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845237,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,
SAMN19845238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
SAMN19845239,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845240,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,
SAMN19845241,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
SAMN19845242,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
SAMN19845243,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
SAMN19845244,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
